date,record_id,new_values
2018-12-04 09:04:39,2187055,"component=abc
customer=4735"
2018-12-04 09:04:39,2187057,"component=abc
customer=27889"
2018-12-06 13:55:40,2191549,"component=abc
customer=39571"
2018-12-28 11:18:08,2207725,"date_start=2018-12-28
component=abc
customer=59352"
2018-12-18 00:00:15,2199967,"date_start=2018-12-18
component=abc
customer=22080"
2018-12-18 00:00:15,2199969,"date_start=2018-12-18
component=abc
customer=19799"
2018-12-18 00:00:15,2199971,"date_start=2018-12-18
component=abc
customer=19978"
2018-12-18 00:00:16,2199973,"date_start=2018-12-18
component=abc
customer=15017"
2018-12-18 00:00:16,2199975,"date_start=2018-12-18
component=abc
customer=20566"
2018-12-18 00:00:16,2199977,"date_start=2018-12-18
component=abc
customer=9810"
