name,lastname,otchestvo,gender,birdhdate,start,end,district
Зобнев,Виктор,Викторович,м,07.06.1964,18.09.2016,,Рубцовский
Панков,Николай,Васильевич,м,05.01.1965,18.09.2016,,Балаковский
Слыщенко,Константин,Григорьевич,м,09.03.1965,18.09.2016,,Камчатский
Хайров,Ринат,Шамильевич,м,22.06.1964,18.09.2016,,Альметьевский
Барышев,Андрей,Викторович,м,02.02.1966,18.09.2016,,Челябинский
Веллер,Алексей,Борисович,м,09.01.1966,18.09.2016,,Мурманский
Выборный,Анатолий,Борисович,м,08.06.1965,18.09.2016,,Чертановский
Драчев,Владимир,Петрович,м,07.03.1966,18.09.2016,,Всеволожский
Миронова,Валентина,Михайловна,ж,06.02.1966,18.09.2016,,Унечский
Петров,Сергей,Валериевич,м,19.04.1965,18.09.2016,,Волховский
Савченко,Светлана,Борисовна,м,24.06.1965,18.09.2016,,Евпаторийский
Скоч,Андрей,Владимирович,м,30.01.1966,18.09.2016,,Старооскольский
Умаханов,Умахан,Магомедгаджиевич,м,25.05.1965,18.09.2016,,Северный
Швыткин,Юрий,Николаевич,м,24.05.1965,18.09.2016,,Красноярский
Эмиргамзаев,Абдулгамид,Гасанович,м,26.05.1965,18.09.2016,,Центральный
Ярошук,Александр,Георгиевич,м,15.11.1965,25.09.2018,,Центральный
Афонский,Владимир,Игорьевич,м,10.10.1966,18.09.2016,,Новомосковский
Грищенко,Олег,Васильевич,м,10.08.1966,18.09.2016,17.06.2017,Саратовский
Карамышев,Виктор,Николаевич,м,17.12.1966,18.09.2016,,Сеймский
Красов,Андрей,Леонидович,м,27.01.1967,18.09.2016,,Рязанский
Митина,Елена,Анатольевна,ж,16.08.1966,18.09.2016,,Скопинский
Новиков,Владимир,Михайлович,м,09.06.1966,18.09.2016,,Артемовский
Чепиков,Сергей,Владимирович,м,30.01.1967,18.09.2016,,Березовский
Черкесов,Леонид,Ильич,м,13.08.1966,18.09.2016,,Чебоксарский
Байгускаров,Зариф,Закирович,м,30.06.1967,18.09.2016,,Салаватский
Жарков,Антон,Викторович,м,03.10.1967,18.09.2016,,Преображенский
Иванов,Максим,Анатольевич,м,24.11.1967,18.09.2016,,Асбестовский
Карелин,Александр,Александрович,м,19.09.1967,18.09.2016,,Искитимский
Квитка,Иван,Иванович,м,04.05.1967,18.09.2016,,Заводоуковский
Когогина,Альфия,Гумаровна,ж,22.02.1968,18.09.2016,,Набережно-Челнинский
Шхагошев,Адальби,Люлевич,м,06.06.1967,18.09.2016,,Кабардино-Балкарский
Бондаренко,Елена,Вениаминовна,ж,10.06.1968,18.09.2016,,Георгиевский
Игнатов,Виктор,Александрович,м,15.10.1968,18.09.2016,,Барабинский
Казакова,Ольга,Михайловна,ж,30.05.1968,18.09.2016,,Кавминводский
Колесников,Олег,Алексеевич,м,11.09.1968,18.09.2016,,Златоустовский
Поляков,Александр,Алексеевич,м,31.01.1969,18.09.2016,,Тамбовский
Саблин,Дмитрий,Вадимович,м,05.09.1968,18.09.2016,,Новомосковский
Сухарев,Игорь,Николаевич,м,26.10.1968,18.09.2016,,Бугурусланский
Белик,Дмитрий,Анатольевич,м,17.10.1969,18.09.2016,,Севастопольский
Делимханов,Адам,Султанович,м,25.09.1969,18.09.2016,,Чеченский
Кавинов,Артем,Александрович,м,03.09.1969,18.09.2016,,Борский
Ледков,Григорий,Петрович,м,26.03.1969,18.09.2016,,Ямало-Ненецкий
Толстой,Петр,Олегович,м,20.06.1969,18.09.2016,,Люблинский
Тутова,Лариса,Николаевна,ж,18.10.1969,18.09.2016,,Ростовский
Железняк,Сергей,Владимирович,м,30.07.1970,18.09.2016,,Перовский
Игошин,Игорь,Николаевич,м,11.12.1970,18.09.2016,,Владимирский
Карлов,Георгий,Александрович,м,04.01.1971,18.09.2016,,Сахалинский
Хайруллин,Айрат,Назипович,м,01.08.1970,18.09.2016,07.02.2020,Нижнекамский
Чернышев,Андрей,Владимирович,м,10.07.1970,18.09.2016,,Братский
Щаблыкин,Максим,Иванович,м,13.07.1970,18.09.2016,,Шахтинский
Аникеев,Григорий,Викторович,м,28.02.1972,18.09.2016,,Суздальский
Дамдинов,Алдар,Валерьевич,м,28.03.1971,18.09.2016,,Бурятский
Ильтяков,Александр,Владимирович,м,09.10.1971,18.09.2016,,Курганский
Канаев,Алексей,Валерианович,м,30.09.1971,18.09.2016,,Череповецкий
Морозов,Дмитрий,Анатольевич,м,05.05.1971,18.09.2016,,Черемушкинский
Сватковский,Дмитрий,Валерьевич,м,27.11.1971,25.09.2018,,Нижегородский
Ситников,Алексей,Владимирович,м,19.06.1971,18.09.2016,,Костромской
Скриванов,Дмитрий,Станиславович,м,15.08.1971,18.09.2016,,Кунгурский
Альшевских,Андрей,Геннадьевич,м,14.05.1972,18.09.2016,,Свердловский
Бахарев,Константин,Михайлович,м,20.10.1972,18.09.2016,,Керченский
Гусева,Ирина,Михайловна,ж,20.05.1972,18.09.2016,,Волжский
Загребин,Алексей,Егорович,м,05.07.1972,18.09.2016,,Удмуртский
Кобзев,Юрий,Викторович,м,20.12.1972,18.09.2016,,Таганрогский
Марков,Андрей,Павлович,м,30.06.1972,18.09.2016,,Павловский
Марченко,Евгений,Евгеньевич,м,17.07.1972,18.09.2016,,Северный
Сураев,Максим,Викторович,м,24.05.1972,18.09.2016,,Балашихинский
Юрков,Дмитрий,Васильевич,м,05.05.1972,18.09.2016,,Архангельский
Бондарь,Оксана,Андреевна,ж,25.02.1974,18.09.2016,,Магаданский
Бурнашов,Алексей,Леонидович,м,28.06.1973,18.09.2016,,Чусовской
Изотов,Алексей,Николаевич,м,26.04.1973,18.09.2016,,Стерлитамакский
Исаев,Михаил,Александрович,м,26.01.1974,18.09.2016,9.10.2017,Балашовский
Козловский,Александр,Николаевич,м,05.05.1973,18.09.2016,,Псковский
Милонов,Виталий,Валентинович,м,23.01.1974,18.09.2016,,Южный
Сазонов,Дмитрий,Валерьевич,м,04.09.1973,18.09.2016,,Кудымкарский
Каличенко,Андрей,Владимирович,м,27.01.1975,18.09.2016,,Новосибирский
Хинштейн,Александр,Евсеевич,м,26.10.1974,09.09.2018,,Самарский
Авдеев,Александр,Александрович,м,12.04.1975,18.09.2016,,Калужский
Бидонько,Сергей,Юрьевич,м,18.08.1975,18.09.2016,13.12.2018,Серовский
Кудрявцев,Максим,Георгиевич,м,29.08.1975,18.09.2016,,Центральный
Панов,Владимир,Александрович,м,10.10.1975,18.09.2016,19.01.2018,Нижегородский
Пахомов,Сергей,Александрович,м,06.08.1975,18.09.2016,,Сергиево-Посадский
Бессарабов,Даниил,Владимирович,м,09.07.1976,18.09.2016,,Барнаульский
Вострецов,Сергей,Алексеевич,м,04.04.1976,18.09.2016,,Западный
Ламейкин,Дмитрий,Викторович,м,27.02.1977,18.09.2016,,Красноармейский
Примаков,Евгений,Александрович,м,29.04.1976,09.09.2018,,Балашовский
Серова,Елена,Олеговна,ж,22.04.1976,18.09.2016,,Коломенский
Тен,Сергей,Юрьевич,м,25.08.1976,18.09.2016,,Шелеховский
Боташев,Расул,Борисович,м,20.10.1977,18.09.2016,,Карачаево-Черкесский
Дзюба,Виктор,Викторович,м,10.08.1977,18.09.2016,,Тульский
Исламов,Дмитрий,Викторович,м,05.12.1977,18.09.2016,,Прокопьевский
Балыбердин,Алексей,Владимирович,м,27.04.1978,18.09.2016,,Нижнетагильский
Жупиков,Александр,Владимирович,м,29.04.1978,18.09.2016,,Рассказовский
Ковпак,Лев,Игоревич,м,23.10.1978,18.09.2016,,Каменск-Уральский
Москвин,Денис,Павлович,м,11.08.1978,18.09.2016,,Приокский
Кувычко,Анна,Александровна,ж,26.06.1979,18.09.2016,,Волгоградский
Таймазов,Артур,Борисович,м,20.07.1979,18.09.2016,,Северо-Осетинский
Ооржак,Мерген,Дадар-оолович,м,09.03.1981,18.09.2016,,Тывинский
