КОПУК,Название,Адрес,Число дней работы парка (Единица),Общая площадь парка (Гектар),Число досуговых объектов: всего (Единица),Число досуговых объектов: требуют капитального ремонта  (Единица),Число досуговых объектов: работающие круглогодично (Единица),"Количество спортивных объектов (залов, площадок): в летний сезон (Единица)","Количество спортивных объектов (залов, площадок): в зимний сезон (Единица)",Прокат спортивного инвентаря: в летний сезон (Единица),Прокат спортивного инвентаря: в зимний сезон (Единица),"Число концертных площадок, павильонов (Единица)",Количество игровых объектов на детских площадках: в летний сезон (Единица),Количество игровых объектов на детских площадках: в зимний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в летний сезон (Единица),Количество посадочных мест в кафе и ресторанах: в зимний сезон (Единица),Количество туалетов: в летний сезон (Единица),Количество туалетов: в зимний сезон (Единица),Наличие доступа в Интернет (Единица),Число культурно-массовых и физкультурно-оздоровительных мероприятий: всего (Единица),Численность работников: всего (Человек),Численность работников: штатных (Человек)
276779,"ГПКО, Магадан","685099, Магаданская обл., город Магадан, проспект Ленина, дом 21-а",365,"7,4",36,2,8,2,,,,1,3,3,24,,1,,TRUE,54,20,20
270109,"Культ.-досуг.объед.""Прометей"",Рубцовск","658200, Алтайский край, город Рубцовск, переулок Гражданский, дом 17",134,"5,5",3,,,1,1,,,1,2,2,300,,4,4,TRUE,32,20,20
279033,ДПКО им.Вити Черевичкина,"Ростовская обл., город Ростов-на-Дону, площадь Театральная",365,3,24,1,9,4,4,,,1,3,3,,,1,,TRUE,202,20,20
281252,Парк Прибрежный,"432067, Ульяновская обл., город Ульяновск, проспект Ленинского Комсомола, дом 41",365,433,30,,5,1,1,TRUE,TRUE,1,35,35,55,55,9,9,TRUE,206,19,12
273713,ПКО им.Революции 1905 года,"153030, Ивановская обл., город Иваново, улица Первых Маевок, дом 55",365,"177,3",21,1,10,3,4,TRUE,TRUE,1,3,2,,,4,2,TRUE,173,19,19
273554,"ПКО им.А.Гайдара, Арзамас","Нижегородская обл., город Арзамас, улица Ленина",365,"26,4",6,1,1,2,,,,1,31,30,,,2,1,TRUE,88,19,19
276637,"Парк ""Быханов сад"", Липецк","398002, Липецкая обл., город Липецк, улица Гагарина, дом 70/В",365,"13,6",37,,,1,2,,TRUE,2,,,,,1,1,TRUE,305,19,16
279264,Сальский ПКО,"347630, Ростовская обл., район Сальский, город Сальск, переулок Спортивный, дом 1-а",134,4,19,2,3,3,2,,,1,8,5,,,1,1,TRUE,66,19,3
279048,ПКО им.1 Мая,"344006, Ростовская обл., город Ростов-на-Дону, улица Большая Садовая, дом 127-129",365,"3,5",17,,17,4,4,,,4,1,1,,,1,1,TRUE,215,19,19
271898,"Парк аттракционов ""Потешный двор""","163069, Архангельская обл., город Архангельск, улица Воскресенская, дом 3, корпус 2",140,"1,5",18,,,,,,,,,,,,1,,TRUE,17,19,19
271332,"МАУК ""Аттракцион""","Ставропольский край, город Ессентуки, улица Пушкина",365,"38,1",19,,12,8,6,TRUE,,3,4,4,100,,5,5,TRUE,479,18,18
276961,"Парк культуры и отдыха ""Ходынское поле""","109559, г.Москва, улица Марьинский Парк, владение 10, строение 4",365,"28,8",,,,,,,,,,,,,,,,1,18,17
279654,Парк культуры и отдыха им.В.А.Важина г.Пугачева,"413721, Саратовская обл., город Пугачев, улица Пушкинская, домовладение 280",365,16,11,,1,1,1,,,1,2,2,40,40,1,1,TRUE,275,18,18
277131,"Дмитровский ПКО ""Березовая роща""","Московская обл., район Дмитровский, город Дмитров, улица Московская",365,"7,3",19,,11,2,1,TRUE,,1,7,7,120,100,6,6,TRUE,174,18,18
280295,ГПКО г.Богданович,"623530, Свердловская обл., район Богдановичский, город Богданович, улица Парковая, дом 10",365,"6,1",21,1,3,3,3,,,3,16,16,,,2,2,TRUE,87,18,17
270306,Староминский ПКО им.30-летия Победы,"353602, Краснодарский край, район Староминский, станица Староминская, улица Красная площадь, дом 72",365,"5,7",11,,4,2,2,,,2,8,8,,,2,2,TRUE,102,18,18
271243,Новоалександровский ПКО,"356000, Ставропольский край, район Новоалександровский, город Новоалександровск, улица Советская, дом 307",306,"2,2",1,,1,,,,,1,1,1,,,1,1,,60,18,8
273696,ПКО им.В.Я.Степанова,"153025, Ивановская обл., город Иваново, улица Смольная, дом 3А",365,54,32,2,3,3,4,TRUE,TRUE,1,4,4,,,3,2,TRUE,164,17,17
277199,Люберецкий ПКО,"Московская обл., район Люберецкий, город Люберцы, проспект Октябрьский",365,"33,6",35,,27,12,10,TRUE,TRUE,3,43,43,270,100,8,8,TRUE,626,17,17
276529,"Парк Победы, Липецк","398046, Липецкая обл., город Липецк, проспект Имени 60-летия СССР, владение 36",365,32,48,,15,2,3,TRUE,TRUE,3,12,10,,,1,1,TRUE,3537,17,17
278721,"ПКО, Чусовой","Пермский край, город Чусовой, улица Сивкова",139,24,10,,,6,1,TRUE,TRUE,3,5,2,,,1,1,TRUE,16,17,4
270908,Городские парки г.Уссурийска,"Приморский край, город Уссурийск, улица Некрасова",365,"16,6",8,,3,,,,,,35,35,,,1,,TRUE,165,17,17
270113,Славгородский ГПКО,"Алтайский край, город Славгород, улица К.Либкнехта",129,7,10,,,,,,,1,1,,,,1,1,TRUE,73,17,17
277254,"ПКО, Павловский Посад","142500, Московская обл., город Павловский Посад, улица Кирова, дом 85",365,"4,3",15,2,11,2,3,,,2,10,11,164,42,3,2,TRUE,132,17,11
272975,"Парк культуры и отдыха ""Волжский""",", Волгоградская обл., город Волжский, улица Набережная, дом 10",332,"284,2",25,,15,2,,,,1,9,9,,,2,1,TRUE,41,16,14
274010,"Парк регионального значения ""Ключи""","309004, Белгородская обл., район Прохоровский, село Кострома, улица Костромская, дом 10",303,"48,5",15,,11,1,1,TRUE,TRUE,10,3,1,68,,5,5,TRUE,300,16,16
284559,"ЦПКО ""Лакреевский лес""","428003, Чувашская Респ., город Чебоксары, улица Лесная, дом 1",365,38,2,,2,,,,TRUE,1,5,5,67,35,3,2,TRUE,19,16,16
277095,"Парк культуры и отдыха ""Дубрава""","142114, Московская обл., район Подольский, город Подольск, улица Победы, дом 3",365,"37,5",1,,1,,,,,,13,13,,,2,2,,85,16,12
