"Cоциальная сеть","Группа соц. сети","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"ВКонтакте","id218836457","1","1","0.0","1.0","00:00:15"
"ВКонтакте","id225032670","1","1","0.0","1.0","00:00:15"
"ВКонтакте","id250020538","1","1","1.0","1.0","00:00:00"
"ВКонтакте","id252938442","1","1","1.0","1.0","00:00:00"
"ВКонтакте","id276254106","1","1","0.0","1.0","00:00:15"
"ВКонтакте","id287649343","1","1","0.0","1.0","00:00:15"
"ВКонтакте","id29129438","1","1","1.0","1.0","00:00:00"
"ВКонтакте","id309333829","1","1","0.0","1.0","00:00:13"
"ВКонтакте","id315252817","1","1","0.0","1.0","00:00:21"
"ВКонтакте","id327952800","1","1","0.0","1.0","00:00:15"
"ВКонтакте","id335552025","1","1","0.0","7.0","00:10:59"
"ВКонтакте","id435109923","1","1","0.0","1.0","00:00:14"
"ВКонтакте","id4908467","1","1","0.0","1.0","00:00:27"
"ВКонтакте","id86220692","1","1","0.0","10.0","00:19:06"
"ВКонтакте","id9740169","1","1","0.0","1.0","00:00:15"
"ВКонтакте","ilya_leg4ilin","1","1","1.0","1.0","00:00:00"
"ВКонтакте","kiril_gudkov","1","1","0.0","1.0","00:00:15"
"ВКонтакте","konzeptual_rf","1","1","0.0","3.0","00:01:30"
"ВКонтакте","kuznetsovman","1","1","0.0","1.0","00:00:18"
"ВКонтакте","lksjjb","1","1","0.0","1.0","00:00:15"
"ВКонтакте","m.kolektiv","1","1","0.0","2.0","00:00:11"
"ВКонтакте","mahinakat","1","1","0.0","1.0","00:03:34"
"ВКонтакте","manstream","1","1","0.0","1.0","00:00:15"
"ВКонтакте","massage_77","1","1","1.0","1.0","00:00:00"
"ВКонтакте","northern_mermaid","1","1","0.0","2.0","00:02:45"
"ВКонтакте","officalgroupfail","1","1","1.0","1.0","00:00:00"
"ВКонтакте","pashazatsepin","1","1","0.0","1.0","00:00:19"
"ВКонтакте","public44130","1","1","0.0","1.0","00:00:15"
"ВКонтакте","public52201","1","1","0.0","1.0","00:00:09"
"ВКонтакте","public58108","1","1","1.0","1.0","00:00:00"
"ВКонтакте","public7669","1","1","0.0","1.0","00:00:13"
"ВКонтакте","roman888777","1","1","0.0","1.0","00:00:15"
"ВКонтакте","rozzi_afrika","1","1","0.0","1.0","00:00:15"
"ВКонтакте","russkie2014","1","1","0.0","1.0","00:00:15"
"ВКонтакте","stivallen","1","1","1.0","1.0","00:00:00"
"ВКонтакте","tina_buratina","1","1","1.0","1.0","00:00:00"
"ВКонтакте","video-41821502_171045396","1","1","0.0","2.0","00:01:02"
"ВКонтакте","video-43111814_164455710","1","1","0.0","1.0","00:01:27"
"ВКонтакте","video-43111814_166238837","1","1","0.0","4.0","00:01:30"
"ВКонтакте","video-43111814_166341105","1","1","0.0","1.0","00:00:15"
"ВКонтакте","video100680050_165302782","1","1","0.0","1.0","00:00:16"
"ВКонтакте","video10190345_456239260","1","1","0.0","1.0","00:00:15"
"ВКонтакте","video197212438_456239149","1","1","0.0","1.0","00:00:28"
"ВКонтакте","video266460701_171478022","1","1","1.0","1.0","00:00:00"
"ВКонтакте","video280124277_171485369","1","1","0.0","1.0","00:00:25"
"ВКонтакте","videos-22004981","1","1","0.0","6.0","00:04:33"
"ВКонтакте","videos-38161982","1","1","0.0","1.0","00:00:15"
"ВКонтакте","videos-72630389","1","1","0.0","1.0","00:00:14"
"ВКонтакте","videos-88722132","1","1","0.0","1.0","00:00:15"
"ВКонтакте","videos123124138","1","1","0.0","1.0","00:00:15"
"ВКонтакте","videos136261975","1","1","1.0","1.0","00:00:00"
"ВКонтакте","videos21637209","1","1","0.0","1.0","00:00:23"
"ВКонтакте","videos264305792","1","1","0.0","1.0","00:00:15"
"ВКонтакте","videos3058","1","1","0.0","1.0","00:00:14"
"ВКонтакте","wall-101580655","1","1","0.0","1.0","00:00:01"
"ВКонтакте","wall-23762795_361991","1","1","0.0","1.0","00:00:06"
"ВКонтакте","wall-43111814_2799","1","1","0.0","2.0","00:02:51"
"ВКонтакте","wall-63901506","1","1","0.0","1.0","00:00:12"
