"No.","Time","Source","Destination","Protocol","Length","Info"
"47","1.465899","64.13.134.52","172.16.0.8","TCP","60","25  >  36050 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"48","1.467781","172.16.0.8","64.13.134.52","TCP","58","36050  >  1056 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"49","1.467852","172.16.0.8","64.13.134.52","TCP","58","36050  >  10629 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"50","1.467916","172.16.0.8","64.13.134.52","TCP","58","36050  >  2605 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"51","1.467980","172.16.0.8","64.13.134.52","TCP","58","36050  >  10621 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"52","1.468045","172.16.0.8","64.13.134.52","TCP","58","36050  >  990 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"53","1.468109","172.16.0.8","64.13.134.52","TCP","58","36050  >  5414 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"54","1.468172","172.16.0.8","64.13.134.52","TCP","58","36050  >  2222 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"55","1.468240","172.16.0.8","64.13.134.52","TCP","58","36050  >  6000 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"56","1.468303","172.16.0.8","64.13.134.52","TCP","58","36050  >  1687 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"57","1.468368","172.16.0.8","64.13.134.52","TCP","58","36050  >  1233 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"58","1.468432","172.16.0.8","64.13.134.52","TCP","58","36050  >  2030 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"59","1.468495","172.16.0.8","64.13.134.52","TCP","58","36050  >  6 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"60","1.468565","172.16.0.8","64.13.134.52","TCP","58","36050  >  1417 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"61","1.468629","172.16.0.8","64.13.134.52","TCP","58","36050  >  8222 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"62","1.468692","172.16.0.8","64.13.134.52","TCP","58","36050  >  683 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"63","1.468756","172.16.0.8","64.13.134.52","TCP","58","36050  >  3050 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"64","1.545291","172.16.0.8","64.13.134.52","TCP","58","36051  >  548 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"65","1.545363","172.16.0.8","64.13.134.52","TCP","58","36051  >  8888 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"66","1.545428","172.16.0.8","64.13.134.52","TCP","58","36051  >  135 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"67","1.545493","172.16.0.8","64.13.134.52","TCP","58","36051  >  554 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
"68","1.545557","172.16.0.8","64.13.134.52","TCP","58","36051  >  256 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"69","1.545622","172.16.0.8","64.13.134.52","TCP","58","36051  >  445 [SYN] Seq=0 Win=3072 Len=0 MSS=1460"
"70","1.545686","172.16.0.8","64.13.134.52","TCP","58","36051  >  1720 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"71","1.545753","172.16.0.8","64.13.134.52","TCP","58","36051  >  8080 [SYN] Seq=0 Win=1024 Len=0 MSS=1460"
"72","1.545822","172.16.0.8","64.13.134.52","TCP","58","36051  >  110 [SYN] Seq=0 Win=2048 Len=0 MSS=1460"
"73","1.545888","172.16.0.8","64.13.134.52","TCP","58","36051  >  993 [SYN] Seq=0 Win=4096 Len=0 MSS=1460"
