time,source,destination,protocol,length,tcp_retransmission,srcport,dstport,flags,seq_ack,win,len,mss,10
1.467852,172.16.0.8,64.13.134.52,TCP,58,False,36050,10629,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.467916,172.16.0.8,64.13.134.52,TCP,58,False,36050,2605,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.4679799999999998,172.16.0.8,64.13.134.52,TCP,58,False,36050,10621,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.468045,172.16.0.8,64.13.134.52,TCP,58,False,36050,990,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.468109,172.16.0.8,64.13.134.52,TCP,58,False,36050,5414,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.468172,172.16.0.8,64.13.134.52,TCP,58,False,36050,2222,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.46824,172.16.0.8,64.13.134.52,TCP,58,False,36050,6000,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.4683030000000001,172.16.0.8,64.13.134.52,TCP,58,False,36050,1687,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.4683680000000001,172.16.0.8,64.13.134.52,TCP,58,False,36050,1233,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.468432,172.16.0.8,64.13.134.52,TCP,58,False,36050,2030,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.468495,172.16.0.8,64.13.134.52,TCP,58,False,36050,6,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.468565,172.16.0.8,64.13.134.52,TCP,58,False,36050,1417,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.4686290000000002,172.16.0.8,64.13.134.52,TCP,58,False,36050,8222,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.468692,172.16.0.8,64.13.134.52,TCP,58,False,36050,683,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.468756,172.16.0.8,64.13.134.52,TCP,58,False,36050,3050,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.545291,172.16.0.8,64.13.134.52,TCP,58,False,36051,548,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.5453629999999998,172.16.0.8,64.13.134.52,TCP,58,False,36051,8888,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.545428,172.16.0.8,64.13.134.52,TCP,58,False,36051,135,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.545493,172.16.0.8,64.13.134.52,TCP,58,False,36051,554,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.545557,172.16.0.8,64.13.134.52,TCP,58,False,36051,256,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.5456219999999998,172.16.0.8,64.13.134.52,TCP,58,False,36051,445,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.5456860000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,1720,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.5457530000000002,172.16.0.8,64.13.134.52,TCP,58,False,36051,8080,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.545822,172.16.0.8,64.13.134.52,TCP,58,False,36051,110,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.545888,172.16.0.8,64.13.134.52,TCP,58,False,36051,993,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.5459530000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,1723,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.610282,172.16.0.8,64.13.134.52,TCP,58,False,36051,3050,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.6103530000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,683,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.6104180000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,8222,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.6104829999999999,172.16.0.8,64.13.134.52,TCP,58,False,36051,1417,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.610547,172.16.0.8,64.13.134.52,TCP,58,False,36051,6,[SYN],Seq=0,Win=1024,Len=0,MSS=1460,
1.6106120000000002,172.16.0.8,64.13.134.52,TCP,58,False,36051,2030,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.6106770000000001,172.16.0.8,64.13.134.52,TCP,58,False,36051,1233,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.610745,172.16.0.8,64.13.134.52,TCP,58,False,36051,1687,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.610811,172.16.0.8,64.13.134.52,TCP,58,False,36051,6000,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
1.610875,172.16.0.8,64.13.134.52,TCP,58,False,36051,2222,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.610939,172.16.0.8,64.13.134.52,TCP,58,False,36051,5414,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.611004,172.16.0.8,64.13.134.52,TCP,58,False,36051,990,[SYN],Seq=0,Win=2048,Len=0,MSS=1460,
1.611074,172.16.0.8,64.13.134.52,TCP,58,False,36051,10621,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.611138,172.16.0.8,64.13.134.52,TCP,58,False,36051,2605,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.611202,172.16.0.8,64.13.134.52,TCP,58,False,36051,10629,[SYN],Seq=0,Win=3072,Len=0,MSS=1460,
1.611267,172.16.0.8,64.13.134.52,TCP,58,False,36051,1056,[SYN],Seq=0,Win=4096,Len=0,MSS=1460,
