"Возраст","Визиты","Посетители","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","247771","169150","0.1368602459529162","1.438913351441452","00:01:35"
"младше 18 лет","16480","13682","0.1720266990291262","1.2597087378640777","00:01:08"
"18‑24 года","112243","83692","0.14206676585622266","1.3829548390545512","00:01:22"
"25‑34 года","57626","36376","0.13853121854718356","1.5341338978933121","00:01:44"
"35‑44 года","29987","18466","0.12325340981091806","1.527428552372695","00:02:16"
"45-54 года","23156","15237","0.10938849542235275","1.4608308861634134","00:01:42"
"55 лет и старше","8279","5872","0.11076216934412368","1.5096026090107502","00:01:48"
